"TimeStamp","Date","Participant","Session","Group","Condition","Block","Time.ms.","GridTilePosition","Radius","IconCenterX","IconCenterY","TouchX","TouchY","InsideCircle","Thumb","ActiveFingerTemp"
1454499546149,"3 Feb 2016 13:39:06","P01","Thumb","M","Cold","B01",790,4,135,135,461,187.001068,478.999695,"True",17.45,17.45
1454499546944,"3 Feb 2016 13:39:06","P01","Thumb","M","Cold","B01",794,20,135,135,1691,145.784027,1693.891968,"True",17.45,17.45
1454499547470,"3 Feb 2016 13:39:07","P01","Thumb","M","Cold","B01",525,13,135,405,1076,390,1075,"True",17.35,17.35
1454499548075,"3 Feb 2016 13:39:08","P01","Thumb","M","Cold","B01",605,3,135,945,153,957,132,"True",17.4,17.4
1454499548637,"3 Feb 2016 13:39:08","P01","Thumb","M","Cold","B01",561,12,135,135,1076,196,1131,"True",17.4,17.4
1454499549296,"3 Feb 2016 13:39:09","P01","Thumb","M","Cold","B01",658,23,135,945,1691,943.458008,1653.916016,"True",17.35,17.35
1454499549714,"3 Feb 2016 13:39:09","P01","Thumb","M","Cold","B01",418,10,135,675,768,655.810425,746.324158,"True",17.35,17.35
1454499550165,"3 Feb 2016 13:39:10","P01","Thumb","M","Cold","B01",450,7,135,945,461,986.786316,493.786316,"True",17.35,17.35
1454499550695,"3 Feb 2016 13:39:10","P01","Thumb","M","Cold","B01",530,18,135,675,1383,621,1389,"True",17.35,17.35
1454499551200,"3 Feb 2016 13:39:11","P01","Thumb","M","Cold","B01",505,15,135,945,1076,937.713623,1075,"True",17.4,17.4
1454499551795,"3 Feb 2016 13:39:11","P01","Thumb","M","Cold","B01",594,3,135,945,153,909,175,"True",17.4,17.4
1454499552300,"3 Feb 2016 13:39:12","P01","Thumb","M","Cold","B01",504,9,135,405,768,355.679047,774,"True",17.55,17.55
1454499552883,"3 Feb 2016 13:39:12","P01","Thumb","M","Cold","B01",581,23,135,945,1691,947.438599,1657.315796,"True",17.55,17.55
1454499553367,"3 Feb 2016 13:39:13","P01","Thumb","M","Cold","B01",484,10,135,675,768,615,772.822693,"True",17.65,17.65
1454499554192,"3 Feb 2016 13:39:14","P01","Thumb","M","Cold","B01",824,20,135,135,1691,214,1686,"True",17.7,17.7
1454499554764,"3 Feb 2016 13:39:14","P01","Thumb","M","Cold","B01",572,7,135,945,461,941,427,"True",17.7,17.7
1454499555216,"3 Feb 2016 13:39:15","P01","Thumb","M","Cold","B01",451,6,135,675,461,650,493,"True",17.8,17.8
1454499555700,"3 Feb 2016 13:39:15","P01","Thumb","M","Cold","B01",484,9,135,405,768,474,728,"True",17.8,17.8
1454499556239,"3 Feb 2016 13:39:16","P01","Thumb","M","Cold","B01",539,18,135,675,1383,770,1389,"True",17.85,17.85
1454499556735,"3 Feb 2016 13:39:16","P01","Thumb","M","Cold","B01",495,15,135,945,1076,972,1009,"True",17.85,17.85
1454499557317,"3 Feb 2016 13:39:17","P01","Thumb","M","Cold","B01",582,2,135,675,153,632,142,"True",17.85,17.85
1454499557857,"3 Feb 2016 13:39:17","P01","Thumb","M","Cold","B01",538,19,135,945,1383,980,1354,"True",17.85,17.85
1454499558308,"3 Feb 2016 13:39:18","P01","Thumb","M","Cold","B01",451,14,135,675,1076,679,1080,"True",17.7,17.7
1454499558848,"3 Feb 2016 13:39:18","P01","Thumb","M","Cold","B01",534,15,135,945,1076,958,1099,"True",17.7,17.7
1454499559321,"3 Feb 2016 13:39:19","P01","Thumb","M","Cold","B01",472,14,135,675,1076,670,1109,"True",17.75,17.75
1454499559970,"3 Feb 2016 13:39:19","P01","Thumb","M","Cold","B01",648,4,135,135,461,211,488,"True",17.75,17.75
1454499560586,"3 Feb 2016 13:39:20","P01","Thumb","M","Cold","B01",616,12,135,135,1076,201.5,1098,"True",17.7,17.7
1454499561049,"3 Feb 2016 13:39:21","P01","Thumb","M","Cold","B01",463,7,135,945,461,978,514,"True",17.75,17.75
1454499561631,"3 Feb 2016 13:39:21","P01","Thumb","M","Cold","B01",582,19,135,945,1383,930,1406,"True",17.75,17.75
1454499562128,"3 Feb 2016 13:39:22","P01","Thumb","M","Cold","B01",496,18,135,675,1383,664,1400,"True",17.7,17.7
1454499562710,"3 Feb 2016 13:39:22","P01","Thumb","M","Cold","B01",582,21,135,405,1691,339,1651,"True",17.7,17.7
1454499563305,"3 Feb 2016 13:39:23","P01","Thumb","M","Cold","B01",594,4,135,135,461,189,472,"True",17.55,17.55
1454499563965,"3 Feb 2016 13:39:23","P01","Thumb","M","Cold","B01",659,15,135,945,1076,948,1115,"True",17.55,17.55
1454499564482,"3 Feb 2016 13:39:24","P01","Thumb","M","Cold","B01",516,17,135,405,1383,389,1369,"True",17.6,17.6
1454499565108,"3 Feb 2016 13:39:25","P01","Thumb","M","Cold","B01",626,3,135,945,153,925.618286,150,"True",17.65,17.65
1454499565614,"3 Feb 2016 13:39:25","P01","Thumb","M","Cold","B01",505,17,135,405,1383,398,1378,"True",17.65,17.65
1454499566165,"3 Feb 2016 13:39:26","P01","Thumb","M","Cold","B01",551,3,135,945,153,921,158,"True",17.5,17.5
1454499566682,"3 Feb 2016 13:39:26","P01","Thumb","M","Cold","B01",517,17,135,405,1383,418,1399,"True",17.5,17.5
1454499567243,"3 Feb 2016 13:39:27","P01","Thumb","M","Cold","B01",561,19,135,945,1383,977.314209,1340.228516,"True",17.55,17.55
1454499567948,"3 Feb 2016 13:39:27","P01","Thumb","M","Cold","B01",702,20,135,135,1691,152,1645,"True",17.55,17.55
1454499568442,"3 Feb 2016 13:39:28","P01","Thumb","M","Cold","B01",494,15,135,945,1076,939.285339,1101.573486,"True",17.55,17.55
1454499569147,"3 Feb 2016 13:39:29","P01","Thumb","M","Cold","B01",704,0,135,135,153,184,154,"True",17.5,17.5
1454499569785,"3 Feb 2016 13:39:29","P01","Thumb","M","Cold","B01",638,23,135,945,1691,952,1660,"True",17.5,17.5
1454499570292,"3 Feb 2016 13:39:30","P01","Thumb","M","Cold","B01",506,12,135,135,1076,152,1100,"True",17.55,17.55
1454499570787,"3 Feb 2016 13:39:30","P01","Thumb","M","Cold","B01",495,15,135,945,1076,955,1059,"True",17.55,17.55
1454499571259,"3 Feb 2016 13:39:31","P01","Thumb","M","Cold","B01",472,18,135,675,1383,706,1400,"True",17.45,17.45
1454499571733,"3 Feb 2016 13:39:31","P01","Thumb","M","Cold","B01",473,14,135,675,1076,718,1064,"True",17.45,17.45
1454499572349,"3 Feb 2016 13:39:32","P01","Thumb","M","Cold","B01",615,2,135,675,153,618,168,"True",17.4,17.4
1454499572833,"3 Feb 2016 13:39:32","P01","Thumb","M","Cold","B01",484,18,135,675,1383,703,1378,"True",17.4,17.4
1454499573306,"3 Feb 2016 13:39:33","P01","Thumb","M","Cold","B01",474,8,135,135,768,219,744,"True",17.4,17.4
1454499573934,"3 Feb 2016 13:39:33","P01","Thumb","M","Cold","B01",626,22,135,675,1691,682,1628,"True",17.4,17.4
1454499574386,"3 Feb 2016 13:39:34","P01","Thumb","M","Cold","B01",450,11,135,945,768,924,804,"True",17.45,17.45
1454499574870,"3 Feb 2016 13:39:34","P01","Thumb","M","Cold","B01",483,19,135,945,1383,889,1378,"True",17.45,17.45
1454499575376,"3 Feb 2016 13:39:35","P01","Thumb","M","Cold","B01",505,8,135,135,768,204,722,"True",17.4,17.4
1454499575882,"3 Feb 2016 13:39:35","P01","Thumb","M","Cold","B01",506,5,135,405,461,418,492,"True",17.4,17.4
1454499576388,"3 Feb 2016 13:39:36","P01","Thumb","M","Cold","B01",506,6,135,675,461,683,434,"True",17.35,17.35
1454499576894,"3 Feb 2016 13:39:36","P01","Thumb","M","Cold","B01",506,17,135,405,1383,455,1383,"True",17.35,17.35
1454499577313,"3 Feb 2016 13:39:37","P01","Thumb","M","Cold","B01",419,14,135,675,1076,757.689819,1034.689819,"True",17.4,17.4
1454499577896,"3 Feb 2016 13:39:37","P01","Thumb","M","Cold","B01",582,4,135,135,461,232.477402,420.304291,"True",17.4,17.4
1454499578391,"3 Feb 2016 13:39:38","P01","Thumb","M","Cold","B01",495,15,135,945,1076,925,1108,"True",17.25,17.25
1454499578963,"3 Feb 2016 13:39:38","P01","Thumb","M","Cold","B01",572,21,135,405,1691,342,1582,"True",17.25,17.25
1454499579557,"3 Feb 2016 13:39:39","P01","Thumb","M","Cold","B01",593,3,135,945,153,918,116,"True",17.15,17.15
1454499580152,"3 Feb 2016 13:39:40","P01","Thumb","M","Cold","B01",594,1,135,405,153,495,117,"True",17.15,17.15
1454499580747,"3 Feb 2016 13:39:40","P01","Thumb","M","Cold","B01",594,23,135,945,1691,937,1616,"True",17.15,17.15
1454499581187,"3 Feb 2016 13:39:41","P01","Thumb","M","Cold","B01",440,15,135,945,1076,887,1099,"True",17.15,17.15
1454499581770,"3 Feb 2016 13:39:41","P01","Thumb","M","Cold","B01",583,22,135,675,1691,755,1613,"True",17.15,17.15
1454499582342,"3 Feb 2016 13:39:42","P01","Thumb","M","Cold","B01",572,7,135,945,461,977,487,"True",17.1,17.1
1454499582793,"3 Feb 2016 13:39:42","P01","Thumb","M","Cold","B01",451,19,135,945,1383,873,1382,"True",17.1,17.1
1454499583224,"3 Feb 2016 13:39:43","P01","Thumb","M","Cold","B01",430,10,135,675,768,662,701,"True",17.1,17.1
1454499583729,"3 Feb 2016 13:39:43","P01","Thumb","M","Cold","B01",505,2,135,675,153,638,89,"True",17.1,17.1
1454499584346,"3 Feb 2016 13:39:44","P01","Thumb","M","Cold","B01",616,23,135,945,1691,937,1606,"True",17.15,17.15
1454499584785,"3 Feb 2016 13:39:44","P01","Thumb","M","Cold","B01",439,14,135,675,1076,726.294983,1115.295044,"True",17.15,17.15
1454499585237,"3 Feb 2016 13:39:45","P01","Thumb","M","Cold","B01",450,11,135,945,768,943.413147,804.117371,"True",17.15,17.15
1454499585766,"3 Feb 2016 13:39:45","P01","Thumb","M","Cold","B01",528,12,135,135,1076,231,1109,"True",17.15,17.15
1454499586425,"3 Feb 2016 13:39:46","P01","Thumb","M","Cold","B01",659,20,135,135,1691,196,1590,"True",17.05,17.05
1454499587064,"3 Feb 2016 13:39:47","P01","Thumb","M","Cold","B01",638,2,135,675,153,723,252,"True",17.1,17.1
1454499587736,"3 Feb 2016 13:39:47","P01","Thumb","M","Cold","B01",671,20,135,135,1691,242,1649,"True",17.1,17.1
1454499588177,"3 Feb 2016 13:39:48","P01","Thumb","M","Cold","B01",440,10,135,675,768,705,788,"True",17,17
1454499588727,"3 Feb 2016 13:39:48","P01","Thumb","M","Cold","B01",550,22,135,675,1691,658,1605,"True",17,17
