"TimeStamp","Date","Participant","Gender","Condition","Block","Time.ms.","GridTilePosition","Radius","IconCenterX","IconCenterY","TouchX","TouchY","InsideCircle"
1512520761610,"6 Dec. 2017 11:39:21 am","P01","M","Music-Fast","B01",1357,16,135,135,1386,129.726562,1390.5,"True"
1512520762197,"6 Dec. 2017 11:39:22 am","P01","M","Music-Fast","B01",586,11,135,945,770,942.890625,712.21875,"True"
1512520762728,"6 Dec. 2017 11:39:22 am","P01","M","Music-Fast","B01",530,19,135,945,1386,924.433594,1420.5,"True"
1512520763349,"6 Dec. 2017 11:39:23 am","P01","M","Music-Fast","B01",620,2,135,675,154,680.537109,207.375,"True"
1512520763961,"6 Dec. 2017 11:39:23 am","P01","M","Music-Fast","B01",611,2,135,675,154,655.488281,152.53125,"True"
1512520764526,"6 Dec. 2017 11:39:24 am","P01","M","Music-Fast","B01",565,19,135,945,1386,937.880859,1426.59375,"True"
1512520765353,"6 Dec. 2017 11:39:25 am","P01","M","Music-Fast","B01",825,23,135,945,1694,967.148437,1678.3125,"True"
1512520765960,"6 Dec. 2017 11:39:25 am","P01","M","Music-Fast","B01",607,18,135,675,1386,669.462891,1355.8125,"True"
1512520766606,"6 Dec. 2017 11:39:26 am","P01","M","Music-Fast","B01",644,9,135,405,770,419.765625,746.4375,"True"
1512520767269,"6 Dec. 2017 11:39:27 am","P01","M","Music-Fast","B01",662,0,135,135,154,153.457031,175.5,"True"
1512520767979,"6 Dec. 2017 11:39:27 am","P01","M","Music-Fast","B01",710,11,135,945,770,944.736328,826.59375,"True"
1512520768668,"6 Dec. 2017 11:39:28 am","P01","M","Music-Fast","B01",688,20,135,135,1694,108.105469,1711.125,"True"
1512520769389,"6 Dec. 2017 11:39:29 am","P01","M","Music-Fast","B01",720,2,135,675,154,700.839844,112.6875,"True"
1512520769959,"6 Dec. 2017 11:39:29 am","P01","M","Music-Fast","B01",568,13,135,405,1078,422.402344,1110.65625,"True"
1512520770556,"6 Dec. 2017 11:39:30 am","P01","M","Music-Fast","B01",596,19,135,945,1386,992.460937,1379.71875,"True"
1512520771213,"6 Dec. 2017 11:39:31 am","P01","M","Music-Fast","B01",656,1,135,405,154,423.720703,166.59375,"True"
1512520771761,"6 Dec. 2017 11:39:31 am","P01","M","Music-Fast","B01",547,10,135,675,770,665.771484,753.46875,"True"
1512520772297,"6 Dec. 2017 11:39:32 am","P01","M","Music-Fast","B01",534,10,135,675,770,702.158203,777.84375,"True"
1512520772977,"6 Dec. 2017 11:39:32 am","P01","M","Music-Fast","B01",680,22,135,675,1694,676.582031,1674.09375,"True"
1512520773696,"6 Dec. 2017 11:39:33 am","P01","M","Music-Fast","B01",718,23,135,945,1694,987.714844,1737.84375,"True"
1512520774291,"6 Dec. 2017 11:39:34 am","P01","M","Music-Fast","B01",594,7,135,945,462,948.691406,452.53125,"True"
